1,Item,Page 17-18,Categories,Sub-Categories,Group Item,Group Components,Short Description,Long Description,Origin,CTN,Shipping Length (Inch),Shipping Width (Inch),Shipping Height (Inch),Shipping Volume (CuFt),Shipping Weight (LB),Product Dimension (Inch),Style,Material,Material %1,Material %2,Size,Name,Reference Image,Color,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Summary
2246,CM7923EX-CK-BED,101,Bedroom,Beds,Y,"CM7923EX-CK-HB/FB, CM7923EX-CK-R",Cal.King Bed,Furniture of America Corry Transitional Cal.King Bed,,2,0,0,0,8.3,92.6,"91""L X 75 1/8""W X 40 1/2""H",Transitional,,,,Cal.King,Corry,CM7923EX.jpg,Dark Walnut,Transitional Style,Slatted Headboard,Slat Kit Included,"Solid Wood, Wood Veneer & Others",Available in 2 Colors,,,,,,"Finished in dark walnut, this classic bedroom set has a graceful sleigh bed. The matching night stand, dresser and chest are accented with antique brass hardware. - -"
2258,CM7923WH-CK-BED,101,Bedroom,Beds,Y,"CM7923WH-CK-HB/FB, CM7923WH-CK-R",Cal.King Bed,Furniture of America Corry Transitional Cal.King Bed,,2,0,0,0,8.3,92.6,"91""L X 75 1/8""W X 40 1/2""H",Transitional,,,,Cal.King,Corry,CM7923WH.jpg,White,Transitional Style,Slatted Headboard,Slat Kit Included,"Solid Wood, Wood Veneer & Others",Available in 2 Colors,,,,,,"Finished in dark walnut, this classic bedroom set has a graceful sleigh bed. The matching night stand, dresser and chest are accented with antique brass hardware. - -"
2270,CM7431CK-BED,103,Bedroom,Beds,Y,"CM7431CK-HB, CM7431CK-FBR",Cal.King Bed,Furniture of America AZALEH Contemporary Cal.King Bed,,2,0,0,0,9.2,93,"90 1/2""L X 75""W X 39 1/4""H",Contemporary,,,,Cal.King,AZALEH,CM7431.jpg,Espresso,Contemporary Style,Platform Bed,Padded Leatherette,Button Tufting with LED Lights,Touch Switch on Both Sides of H/B,"Solid Wood, Wood Veneer, Others*",Espresso,,,,"Light up the night with this gorgeous, contemporary style platform bed. The sleek leatherette upholstery and LED lights create a fun visual effect that will modernize any bedroom. The button tufted headboard features a touch switch that, when activat ed, lights up several shimmering lights which reflect beautifully off the crystal-like acrylic buttons! -"
2285,CM7056BK-CK-BED,104,Bedroom,Beds,Y,"CM7056BK-CK-HB/FB, CM7056BK-CK-R",Cal.King Bed,Furniture of America JUILLIARD Contemporary Cal.King Bed,,2,0,0,0,22.5,149.4,"93 3/4""L X 76 1/2""W X 43 3/4""H",Contemporary,"Leatherette, Solid Wood, Wood Veneer & Others",,,Cal.King,JUILLIARD,CM7056BK.jpg,Black,Contemporary Style,Bluetooth speakers on both sides of H/B,Padded Leatherette H/B,Crystal-like Acrylic Buttons,Felt-lined Top Drawers,"Solid Wood, Wood Veneer & Others",Available in 3 Colors,,,,"Technology makes its way into the bedroom in this unique contemporary bed. Bluetooth speakers on both sides of the headboard make it easy to connect your MP3 player wirelessly. Listen to your favorite tunes while you doze off on this extravagant leat herette bed and its tufted all-around crystal-like acrylic buttons. Three color options are available: black, ivory and silver. -"
2297,CM7056SV-CK-BED,104,Bedroom,Beds,Y,"CM7056SV-CK-HB/FB, CM7056SV-CK-R",Cal.King Bed,Furniture of America Juilliard Contemporary Cal.King Bed,,2,0,0,0,22.5,149.4,"93 3/4""L X 76 1/2""W X 43 3/4""H",Contemporary,"Leatherette, Solid Wood & Others",,,Cal.King,Juilliard,CM7056SV.jpg,Silver,Bluethooth Speakers On Both Sides Of H/B,Contemporary Style,Padded Leatherette H/B,Crystal-Like Acrylic Buttons,Solid Wood & Others,Silver Color,,,,,"Technology invades the bedroom in this unique contemporary bed, featuring bluetooth speakers on both sides of the headboard. Connect your MP3 player wirelessly and listen to your favorite tunes while you doze off on this extravagant silver leatherett e bed, tufted all around with crystal-like acrylic buttons. -"
2327,CM7016BK-CK-BED,106,Bedroom,Beds,Y,"CM7016BK-CK-HB, CM7016BK-CK-FBR",Cal.King Bed,Furniture of America MONROE Contemporary Cal.King Bed,CN,2,0,0,0,24.4,159,"91""L X 83""W X 63""H",Contemporary,"Leatherette, Solid Wood, Wood Veneer & Others",,,Cal.King,MONROE,CM7016BK.jpg,Black,Contemporary Style,Platform Bed,Padded Leatherette H/B,Crystal-like Acrylic Buttons,Felt-lined Top Drawers,"Solid Wood, Wood Veneer & Others",Available in Ivory or Black,,,,"A comfortable design paired with a simple single-toned finish creates an eye-catching bed. This platform bed features a high headboard decorated with button tufting and nailhead trim, sparing no expense when it comes to style, but also keeping conven ience in mind. -"
2336,CM7016IV-CK-BED,106,Bedroom,Beds,Y,"CM7016IV-CK-HB, CM7016IV-CK-FBR",Cal.King Bed,Furniture of America MONROE Contemporary Cal.King Bed,CN,2,0,0,0,24.4,159,"91""L X 83""W X 63""H",Contemporary,"Leatherette, Solid Wood, Wood Veneer & Others",,,Cal.King,MONROE,CM7016IV.jpg,Ivory,Contemporary Style,Platform Bed,Padded Leatherette H/B,Crystal-like Acrylic Buttons,Felt-lined Top Drawers,"Solid Wood, Wood Veneer & Others",Available in Ivory or Black,,,,"A comfortable design paired with a simple single-toned finish creates an eye-catching bed. This platform bed features a high headboard decorated with button tufting and nailhead trim, sparing no expense when it comes to style, but also keeping conven ience in mind. -"
2349,CM7949BK-CK-BED,107,Bedroom,Beds,Y,"CM7949BK-CK-HB, CM7949BK-CK-FBR",Cal.King Bed,Furniture of America Velen Contemporary Cal.King Bed,,2,0,0,0,8.5,104.7,"90""L X 75 1/2""W X 41""H",Contemporary,"Leatherette, Solid Wood & Others",,,Cal.King,Velen,CM7949BK.jpg,Black,Contemporary Style,Padded Leatherette Platform Bed,Crystal-Like Acrylic Buttons On H/B,European Style Slat Kit,Solid Wood & Others,Available in 2 Colors,,,,,"The neutral black and white options for this padded leatherette platform bed helps bring about the beauty of this set. Crystal-like acrylic buttons adorn the tufting in the headboard, while matching case goods mirror the simplicity of the bed with st raight lines and simple silhouettes. Available in five sizes. -"
2364,CM7949WH-CK-BED,107,Bedroom,Beds,Y,"CM7949WH-CK-HB, CM7949WH-CK-FBR",Cal.King Bed,Furniture of America Velen Contemporary Cal.King Bed,,2,0,0,0,8.5,104.7,"90""L X 75 1/2""W X 41""H",Contemporary,"Leatherette, Solid Wood & Others",,,Cal.King,Velen,CM7949WH.jpg,White,Contemporary Style,Padded Leatherette Platform Bed,Crystal-Like Acrylic Buttons On H/B,European Style Slat Kit,Solid Wood & Others,Available in 2 Colors,,,,,"The neutral black and white options for this padded leatherette platform bed helps bring about the beauty of this set. Crystal-like acrylic buttons adorn the tufting in the headboard, while matching case goods mirror the simplicity of the bed with st raight lines and simple silhouettes. Available in five sizes. -"
2379,CM7027CK-BED,108,Bedroom,Beds,Y,"CM7027CK-HB, CM7027CK-FB-R",Cal.King Bed,Furniture of America Webster Contemporary Cal.King Bed,,2,0,0,0,27.4,182,"96 3/4""L X 76 3/4""W X 46 3/4""H",Contemporary,"Leatherette, Solid Wood, Wood Veneer & Others",,,Cal.King,Webster,CM7027.jpg,Espresso Leatherette,Padded Platform Bed w/ Leatherette or Leather-Like Fabric,Center Folding Table,European Style Slat Kit,Solid Wood & Others,Available in 2 Colors,,,,,,The bold leatherette padded headboard and footboard provide sleek contemporary styling to your bedroom. Function and comfort are combined with a convenient center folding table built into the headboard. Two options to choose from: brown leather-like  fabric or espresso leatherette. -
2400,CM7793BK-CK-BED,109,Bedroom,Beds,Y,"CM7793BK-CK-HB, CM7793BK-CK-FB/R",Cal.King Bed,Furniture of America WALLEN Contemporary Cal.King Bed,,2,0,0,0,8.2,105.6,"89 5/8""L X 76""W X 39 3/8""H",Contemporary,"Crocodile Leatherette, Solid Wood & Others",,,Cal.King,WALLEN,CM7793BK.jpg,Black,Contemporary Style,Crocodile Skin Leatherette,Button Tufted Headboard,Tapered Legs,Slat Kit Included,Solid Wood & Others,Available in 3 Colors,,,,"Bringing the best of design and function together, this bed is perfect for all generations. Elegantly simple, the bed offers a fresh look that coordinates with bedding of almost any style. Crocodile skin surface leatherette adds an air of elegance an d sophistication to this simple upholstered headboard. -"
2415,CM7793WH-CK-BED,109,Bedroom,Beds,Y,"CM7793WH-CK-HB, CM7793WH-CK-FB/R",Cal.King Bed,Furniture of America WALLEN Contemporary Cal.King Bed,,2,0,0,0,8.2,105.6,"89 5/8""L X 76""W X 39 3/8""H",Contemporary,"Crocodile Leatherette, Solid Wood & Others",,,Cal.King,WALLEN,CM7793WH.jpg,Pearl White,Contemporary Style,Crocodile Skin Leatherette,Button Tufted Headboard,Tapered Legs,Slat Kit Included,Solid Wood & Others,Available in 3 Colors,,,,"Bringing the best of design and function together, this bed is perfect for all generations. Elegantly simple, the bed offers a fresh look that coordinates with bedding of almost any style. Crocodile skin surface leatherette adds an air of elegance an d sophistication to this simple upholstered headboard. -"
2430,CM7795BK-CK-BED,109,Bedroom,Beds,Y,"CM7795BK-CK-HB, CM7795BK-CK-FB/R",Cal.King Bed,Furniture of America KODELL Contemporary Cal.King Bed,,2,0,0,0,9.2,85.2,"89 3/4""L X 75 1/2""W X 44 1/2""H",Contemporary,"Crocodile Leatherette, Solid Wood & Others",,,Cal.King,KODELL,CM7795BK.jpg,Black,Contemporary Style,Crocodile Skin Leatherette,Button Tufted Headboard,Tapered Legs,Slat Kit Included,Solid Wood & Others,Available in 3 Colors,,,,"Unpretentious, unassuming, but clearly elegant, this headboard features exotic croc skin fabric texture defined by supple leatherette fabric to add quiet sophistication as it grounds your bed. The master bedroom just got an upgrade in luxury with thi s bed. -"
2445,CM7007CK-BED,110,Bedroom,Beds,Y,"CM7007CK-HB, CM7007CK-FBR",Cal.King Bed,Furniture of America VILLA PARK Contemporary Cal.King Bed,,2,0,0,0,10.2,118.8,"90 1/2""L X 75""W X 41""H",Contemporary,"Leatherette, Solid Wood & Others",,,Cal.King,VILLA PARK,CM7007.jpg,Espresso,Contemporary Style,Padded Leatherette Platform Bed,Curved Headboard,European Slat Kit,Solid Wood & Others,Espresso Finish,,,,,"A sleek modern vibe fused with the relaxing warmth of the leatherette headboard will create a casual yet sophisticated look. There is generous storage in all the matching case goods, which are accented with brushed nickel knobs. A twin size bed is al so available with its own set of kids case goods. -"
2470,CM7057CK-BED,111,Bedroom,Beds,Y,"CM7057CK-HB, CM7057CK-FB/R",Cal.King Bed,Furniture of America Hendrik Contemporary Cal.King Bed,,2,0,0,0,18.7,114.6,"95""L X 76 1/4""W X 43 1/4""H",Contemporary,"Leatherette, Wood & Others",,,Cal.King,Hendrik,CM7057.jpg,Espresso,Contemporary Style,Padded Leatherette Platform Bed,Bluetooth Speakers On Both Sides Of H/B,European Style Slat Kit,Solid Wood & Others,Available in 5 Bed Sizes,Espresso Finish,,,,Make a bold and loud statement in your bedroom! This rather simple-looking bed is equipped with two bluetooth speakers on both sides of the headboard. Wirelessly connect your MP3 player and blast your favorite songs! The bed is mattress-ready and sha res the same espresso finish as its case goods. -
2485,CM7099EX-CK-BED,111,Bedroom,Beds,Y,"CM7099EX-CK-HB, CM7099EX-CK-FBR",Cal.King Bed,Furniture of America EVANS Contemporary Cal.King Bed,,2,0,0,0,8.2,105.6,"89 5/8""L X 76""W X 39 1/2""H",Contemporary,"Leatherette, Solid Wood & Others",,,Cal.King,EVANS,CM7099EX.jpg,Espresso,Contemporary Style,Padded Platform Bed,Tapered Legs,Solid Wood & Others,Available in multiple color options,,,,,,"Rest easy with modern platform leatherette upholstered bed. Our great looking, simple, no frills upholstered bed with classic Parsons style headboard with Bluetooth equipped makes for a nice space to lean up against. A trend-proof look that is alwa ys easy to personalize and update with a change of bed sheets and decorative pillows. -"
2592,CM7125CK-BED,115,Bedroom,Beds,Y,"CM7125CK-HB, CM7125CK-FB, CM7125CK-R",Cal.King Bed,Furniture of America ZELINA Contemporary Cal.King Bed,,3,0,0,0,42.9,192.5,"112 1/2""L X 89""W X 26 3/4""H",Contemporary,,,,Cal.King,ZELINA,CM7125.jpg,"Black, White",Contemporary Style,Slat Kit Included,Padded Leatherette Platform Bed,"Solid Wood, Others",Unique Curved Design,,,,,,"For the modern enthusiast, this curvaceous platform bed is a unique addition to any bedroom. Completely upholstered in smooth leatherette, the stylized structure utilizes the two-tone black and white to enhance the flow and appearance of movement. As  the headboard gracefully rises, the frame itself easily keeps any mattress in place. -"
2604,CM7604GY-CK-BED,115,Bedroom,Beds,Y,"CM7604GY-CK-HB, CM7604GY-CK-FB, CM7604GY-CK-R",Cal.King Bed,Furniture of America VIZELA Contemporary Cal.King Bed,,3,0,0,0,36.7,171.6,"105""L X 87 1/2""W X 37 1/2""H",Contemporary,"Leatherette, Solid Wood & Others",,,Cal.King,VIZELA,CM7604GY.jpg,Gray,Contemporary Style,Padded Leatherette Platform Bed,Arched Low Profile Design,Slat Kit Included,Solid Wood & Others,Available in 2 Colors,,,,,Add curves into your bedroom with this contemporary styled bed. The arched platform design enhances the padded grid-like patterning along the smooth light gray or a Ivory leatherette. - -
2675,CM7674CK-BED,119,Bedroom,Beds,Y,"CM7674CK-HBFB, CM7674CK-R",Cal.King Bed,Furniture of America Orianna Transitional Cal.King Bed,,2,0,0,0,15.7,155.4,"92""L X 77""W X 55""H",Transitional,"Linen-like Fabric, Solid Wood & Others",,,Cal.King,Orianna,CM7674.jpg,Gray,Contemporary Style,Pull-out Footbaord Drawers w/ Casters,Padded Linen-like Fabric,Button Tufted Headboard,Nailhead Trim,Solid Wood/Others,Gray,,,,Bring elegance into your bedroom with this magnificent tufted bed. Dual nailhead trim lines the expansive headboard while button tufting adds depth and dimension. The pullout footboard can double as extra storage space and is easily accessed with the  help of caster wheels. -
2687,CM7675CK-BED,119,Bedroom,Beds,Y,"CM7675CK-HBFB, CM7675CK-R",Cal.King Bed,Furniture of America CLAUDINE Contemporary Cal.King Bed,,2,0,0,0,20.3,131.56,"93 1/4""L X 82 1/2""W X 59 7/8""H",Contemporary,,,,Cal.King,CLAUDINE,CM7675.jpg,Beige,Contemporary Style,Corner Cut-out Design H/B & F/B,Nailhead Trim,Crystal-like Acrylic Buttons,Fabric,Solid Wood & Others*,Beige,,,,"Adorned with crystal-like acrylic buttons and crisp nailhead trim, this lovely contemporary style bed radiates charm and sophistication. The cut-out corners, beige Fabric and turned legs all come together to create a timeless piece for years of enjoy ment. -"
2744,CM7055CK-BED,121,Bedroom,Beds,Y,"CM7055CK-HB, CM7055CK-FBR",Cal.King Bed,Furniture of America Mira Contemporary Cal.King Bed,,2,0,0,0,20.5,176.8,"92 1/4""L X 78 1/2""W X 65""H",Contemporary,"Leatherette, Solid Wood & Others","40% PVC, 30% Plasticiser, 20% Filler, 10% Polyester",,Cal.King,Mira,CM7055-bed.jpg,Silver,Contemporary Style,Padded Leatherette H/B,Button Tufted Design,Solid Wood & Others,Silver Color,,,,,,"The oversized, padded wingback headboard serves as a perfect stage for the beautifully laid-out button tuftings. Neutral silver padded leatherette helps keep the contemporary feel intact, while the low profile platform ensures easy access in and out  of this gorgeous bed. -"
2750,CM7055IV-CK-BED,121,Bedroom,Beds,Y,"CM7055IV-CK-HB, CM7055IV-CK-FBR",Cal.King Bed,Furniture of America MIRA Contemporary Cal.King Bed,,2,0,0,0,21.1,174.8,"93""L X 78 1/2""W X 65""H",Contemporary,"Fabric, Solid Wood & Others",100% Polyester,,Cal.King,MIRA,CM7055IV.jpg,Beige,Contemporary Style,Padded Leatherette H/B,Button Tufted Design,Solid Wood & Others,Available in 4 Colors,,,,,,"Contemporary inspired design carefully crafted with button tufted accents and perfectly padded fabric. This bed is available in various colors, and sizes to perfectly compliment any style bedroom décor. - -"
2768,CM7516CK-BED,122,Bedroom,Beds,Y,"CM7516CK-HB, CM7516CK-FB, CM7516CK-R",Cal.King Bed,Furniture of America REBECCA Contemporary Cal.King Bed,,3,0,0,0,26.2,166,"91""L X 78 1/2""W X 64 1/2""H",Contemporary,,,,Cal.King,REBECCA,CM7516.jpg,Brown,Contemporary Style,Wingback Design,Nailhead Trim,Padded Fabric,Solid Wood & Others*,Brown,,,,,"Elegant wingback designs come paired with intricate nailhead trim in the form of this stylish bed. The camelback structure incorporates chic and glamorous elements that will amplify the beauty of any room. Entirely upholstered in soft brown fabric, t he bed also showcases a padded headboard that doubles as a comfortable backrest to lean against. So curl up with a good book before bed and drift off into your dreams! -"
2784,CM7698CK-BED,122,Bedroom,Beds,Y,"CM7698CK-HBFB, CM7698CK-R",Cal.King Bed,Furniture of America Karissa Transitional Cal.King Bed,,2,0,0,0,22.5,144.42,"92""L X 80 1/2""W X 56 3/4""H",Transitional,"Linen-like Fabric, Solid Wood & Others",,,Cal.King,Karissa,CM7698.jpg,Beige,Contemporary Style,Embroidered Floral Details,Camelback Headboard,Black Tapered Legs,Linen-like Fabric,Solid Wood/Others,Beige,,,,"For a touch of elegance, pair your bedroom with this floral embroidered platform bed. The linen-like upholstery is wrapped tightly around the wooden framework, and sits atop espresso finished block legs for added height. The camelback headboard adds  a sense of ease with its soft curves and adds a chic element to the beige coloring. -"
2801,CM7161CK-BED,123,Bedroom,Beds,Y,"CM7161CK-HB, CM7161CK-FB/R",Cal.King Bed,Furniture of America Marisko Contemporary Cal.King Bed,,2,0,0,0,22.2,123.5,"93 1/4""L X 80 1/2""W X 54 1/2""H",Contemporary,"Fabric, Solid Wood & Others",100% Polyester,,Cal.King,Marisko,CM7161.jpg,Taupe,Contemporary Style,Padded Fabric Bed,Camel-Back Shape H/B,Solid Wood & Others,Taupe Color,,,,,,"Fully upholstered in taupe fabric, this elegant bed features a camelback shaped padded headboard with nailhead trim. Button-tufting create a visually plush facet for the semi-wingback headboard. The contrasting case goods showcasing a unique tiered d esign are finished in es presso. -"
2813,CM7050GY-CK-BED,124,Bedroom,Beds,Y,"CM7050GY-CK-HB/FB, CM7050GY-CK-R",Cal.King Bed,Furniture of America Fontes Contemporary Cal.King Bed,,2,0,0,0,33.2,204.7,"94""L X 83 1/4""W X 64 1/4""H",Contemporary,,100% Polyester,,Cal.King,Fontes,CM7050GY-7118.jpg,Gray,Contemporary Style,Padded Flax Fabric Bed,Wingback Design H/B,"Solid Wood, Wood Veneer & Others",Available in 2 Colors,,,,,,"Sleek contemporary design is the hallmark of this bedroom set. Button tuftings provide a perfect focus on the wingback headboard. Made of padded flax fabric, the bed is available in either gray or ivory. - -"
2822,CM7050IV-CK-BED,124,Bedroom,Beds,Y,"CM7050IV-CK-HB/FB, CM7050IV-CK-R",Cal.King Bed,Furniture of America Fontes Contemporary Cal.King Bed,,2,0,0,0,33.2,204.7,"94""L X 83 1/4""W X 64 1/4""H",Contemporary,,100% Polyester,,Cal.King,Fontes,CM7050IV-7982.jpg,Ivory,Contemporary Style,Padded Flax Fabric Bed,Wingback Design H/B,"Solid Wood, Wood Veneer & Others",Available in 2 Colors,,,,,,"Sleek contemporary design is the hallmark of this bedroom set. Button tuftings provide a perfect focus on the wingback headboard. Made of padded flax fabric, the bed is available in either gray or ivory. - -"
2831,CM7200IV-CK-BED,125,Bedroom,Beds,Y,"CM7200IV-CK-HB, CM7200IV-CK-FBR",Cal.King Bed,Furniture of America Leeroy Contemporary Cal.King Bed,,2,0,0,0,9.1,85.2,"90""L X 74 3/4""W X 44""H",Contemporary,"Fabric, Solid Wood & Others",100% Polyester,,Cal.King,Leeroy,CM7200IV-7088.jpg,Ivory,Contemporary Style,Padded Fabric Platform Bed,Button Tufted Headboard,European Style Slat Kit,Solid Wood & Others,Available in 2 Colors,,,,,"Create a simple yet inviting atmosphere in your bedroom with this contemporary bedroom set. The platform bed is fully upholstered fabric and available in two colors: gray or ivory. A padded, button-tufted headboard adds elegance and warmth to this be autiful set. -"
2846,CM7200LB-CK-BED,125,Bedroom,Beds,Y,"CM7200LB-CK-HB, CM7200LB-CK-FBR",Cal.King Bed,Furniture of America Leeroy Contemporary Cal.King Bed,,2,0,0,0,9.1,85.2,"90""L X 74 3/4""W X 44""H",Contemporary,"Fabric, Solid Wood & Others",100% Polyester,,Cal.King,Leeroy,CM7200LB-7113EX.jpg,Gray,Contemporary Style,Padded Fabric Platform Bed,Button Tufted Headboard,European Style Slat Kit,Solid Wood & Others,Available in 2 Colors,,,,,"Create a simple yet inviting atmosphere in your bedroom with this contemporary bedroom set. The platform bed is fully upholstered fabric and available in two colors: gray or ivory. A padded, button-tufted headboard adds elegance and warmth to this be autiful set. -"
2861,CM7127CK-BED,126,Bedroom,Beds,Y,"CM7127CK-HB, CM7127CK-FB, CM7127CK-R",Cal.King Bed,Furniture of America NOEMI Contemporary Cal.King Bed,,3,0,0,0,52.4,237.16,"113 3/4""L X 80 1/4""W X 52""H",Contemporary,,100% Polyester,,Cal.King,NOEMI,CM7127.jpg,Mocha,Contemporary Style,Padded Corduroy Fabric,Sleigh Bed w/ Deep Button Tufting,Nailhead Trim,"Solid Wood, Others",Mocha,,,,,"Boldly fashioned with a completely upholstered exterior, this sleigh bed provides a comforting twist to traditional designs. The gorgeous curvatures are emphasized by nailhead trim detailing along the sides and entrancing button tufting along the inn er areas. The corduroy fabric is beautifully styled with a Mocha color to add both warmth and lightheartedness to any bedroom. -"
2921,CM7060GY-CK-BED,127,Bedroom,Beds,Y,"CM7060GY-CK-HB, CM7060GY-CK-FB/R",Cal.King Bed,Furniture of America Dillan Contemporary Cal.King Bed,,2,0,0,0,16.6,129.8,"93""L X 76 1/4""W X 43""H",Contemporary,"Fabric, Wood & Others",100% Polyester,,Cal.King,Dillan,CM7060GY.jpg,Gray,Contemporary Style,Padded Fabric Platform Bed,Bluetooth Speakers On Both Sides Of H/B,European Style Slat Kit,Solid Wood & Others,Available in 2 Colors,,,,,"With the choice of gray or ivory, this padded fabric platform bed will fit into any contemporary home. Music capabilities are also onboard, with two speakers on both side of the headboard that can be controlled wirelessly through a bluetooth device. - -"
2930,CM7210CK-BED,127,Bedroom,Beds,Y,"CM7210CK-HB, CM7210CK-FB, CM7210CK-R",Cal.King Bed,Furniture of America CHANELLE Contemporary Cal.King Bed,,3,0,0,0,39.8,211.9,"91""L X 77 7/8""W X 59 7/8""H",Contemporary,,100% Polyester,,Cal.King,CHANELLE,CM7210.jpg,Ivory,Contemporary Style,Button-tufted Padded Fabric,Wingback Design w/ Nailhead Trim,"Solid Wood, Wood Veneer, Others",Slat Kit Included,Espresso Finish,,,,,Upscale your bedroom with this tall and sophisticated platform bed. Gorgeous button tufting enhances the light fabric upholstery while nailhead trim and espresso finished wood paneling draws attention to the wrapped structure. The beautiful two-toned  design makes it easy to pair with the case goods of your choice. -
3051,CM7696CK-BED,130,Bedroom,Beds,Y,"CM7696CK-HB, CM7696CK-FBR",Cal.King Bed,Furniture of America Erglow II Contemporary Cal.King Bed,,2,0,0,0,12.7,140,"90 1/2""L X 76""W X 56""H",Contemporary,"Leatherette, Solid Wood & Others",,,Cal.King,Erglow II,CM7696.jpg,Espresso,Contemporary Style,Slat Kit Included,LED Light Trim on Headboard,Touch Switch on Left Side of Bed,Padded Leatherette Frame,Solid Wood/Others,Espresso,,,,"There's no need to get out of bed anymore, this leatherette upholstered bed features a convenient touch LED lighting trim. The built-in side button provides easy on and off control to brighten your room at a moment's notice. - -"
3066,CM7676CK-BED,131,Bedroom,Beds,Y,"CM7676CK-HB, CM7676CK-FBR",Cal.King Bed,Furniture of America JANIS Contemporary Cal.King Bed,,2,0,0,0,13.7,107.8,"93 1/2""L X 84 1/8""W X 52""H",Contemporary,,,,Cal.King,JANIS,CM7676.jpg,Light Brown,Contemporary Style,Tufted Headboard,Mid-Century Tapering Legs,Padded Fabric,Solid Wood & Others*,Light Brown,,,,,"Enjoy the comfort of this classic mid-century modern style bed that boasts fun, retro flair and clean, linear lines. A horizontally tufted headboard features smooth fabric upholstery and plush foam padding for the perfect spot to read a relaxing bedt ime story or watch a favorite late night show.  -"
3081,CM7722CK-BED,131,Bedroom,Beds,Y,"CM7722CK-HBFB, CM7722CK-R",Cal.King Bed,Furniture of America ROLANDA Contemporary Cal.King Bed,,2,0,0,0,15.1,112,"90 1/4""L X 76 1/2""W X 46 1/2""H",Contemporary,,,,Cal.King,ROLANDA,CM7722.jpg,Beige,Contemporary Style,Padded Fabric,Tapered Legs,Solid Wood & Others*,Beige,,,,,,"A soft and enchanting design to pair with any feminine setting, this upholstered bed offers an effortless and whimsical visual with its chic structure. - -"
3193,CM7914CK-BED,135,Bedroom,Beds,Y,"CM7914CK-HBFB, CM7914CK-R",Cal.King Bed,Furniture of America McAlroy I Industrial Cal.King Bed,,2,0,0,0,8.3,144.1,"87 3/4""L X 75 3/4""W X 45 1/4""H",Industrial,Metal & Others,,,Cal.King,McAlroy I,CM7914.jpg,Antique Black,Industrial Style,Wire Mesh Shelves & Pipe-Inspired Frame,Replicated Valve Finials,Wall Mountable Mirror,Metal/Others,Natural Tone Finish,Antique Black Frame,,,,Bring out your personal style with this industrial style bedroom collection. Each piece features unique framework inspired by metal piping with replicated valves on each post as finials. Antique black finish coats the metal tubing while wood-like pan els double as table tops for the paired end table and desk. -
2388,CM7180CK-BED,108,Bedroom,Beds,Y,"CM7180CK-HBFB, CM7180CK-R, CM7180CK-DR",Cal.King Bed w/ 2 Drawers,Furniture of America CORINA Contemporary Cal.King Bed w/ 2 Drawers,,3,0,0,0,30,207.9,"91""L X 88 1/2""W X 60""H",Contemporary,,,,Cal.King,CORINA,CM7180.jpg,Silver,Contemporary Style,2 Drawers in Footboard,Padded Leatherette Platform Bed,Slat Kit Included,Crystal-like Acrylic Button Tufting,"Solid Wood, Others",Silver,,,,This bed showcases silver leatherette upholstery that shines brilliantly in all settings and creates an upscale vibe fit for any contemporary home. Button tufted accents draw attention to the expansive headboard while dual built-in footboard drawers  make it easy to keep the room tidy. -
140,CM7577DR-CK-BED,15,Bedroom,Beds,Y,"CM7577CK-HB, CM7577CK-FBDR, CM7577CK-R12",Cal.King Bed w/ Drawers,Furniture of America Hutchinson Rustic Cal.King Bed w/ Drawers,,3,0,0,0,43.8,282.28,"90""L X 81 3/4""W X 58""H",Rustic,"Linen-like Fabric, Solid Wood, Wood Veneer & Others",,,Cal.King,Hutchinson,CM7577DR.jpg,Rustic Natural Tone,Transitional Style,Wingback Headboard with Button Tufting,2 Drawers on Footboard,2 Drawer Night Stand,Metal Handles,Felt-Lined Top Drawers,Solid Wood/Wood Veneer/Others,Rustic Natural Tone Finish,,,Set the scene for serene relaxation with this beautiful set and its gorgeous rustic natural tone finish. Diamond tufting can be found all along the fabric padded upholstered wingback style headboard while the wood grain emphasizes the natural finish.  The simple design speaks volumes with its elegant centerpiece and supporting case goods. -
161,CM7576DR-CK-BED,17,Bedroom,Beds,Y,"CM7576CK-HB, CM7576CK-FBDR, CM7576CK-R12",Cal.King Bed w/ Drawers,Furniture of America Hankinson Rustic Cal.King Bed w/ Drawers,,3,0,0,0,47.7,313.03,"90 1/4""L X 77""W X 56""H",Rustic,"Solid Wood, Wood Veneer & Others",,,Cal.King,Hankinson,CM7576DR.jpg,Rustic Natural Tone,Transitional Style,Slatted Wingback Headboard,2 Drawers on Footboard,2 Drawer Night Stand,Metal Handles,Felt-Lined Top Drawers,Solid Wood/Wood Veneer/Others,Rustic Natural Tone Finish,,,"With a look all its own, this set demands attention. The rustic natural tone finish enhances the slatted, wingback style headboard and emphasizes each drawer panel. Easily store added belongings within the footboard storage drawers to save floor and  closet space. Matching case goods are each equipped with ball bearing metal glides and felt-lined top drawers. -"
